studentId,skill
BLM248311,Front-End
BLM248311,Machine Learning
JII285841,Database
JII285841,Mobile Dev
JII285841,Other
JII285841,Back-End
JII285841,Full-Stack
BSG206629,Other
MEC231186,Other
MEC231186,Back-End
MEC231186,Artificial Intelligence
MEC231186,Front-End
MEC231186,Database
MEC231186,Machine Learning
ETM293375,Full-Stack
INC259441,Artificial Intelligence
INC259441,Full-Stack
INC259441,Other
INC259441,Database
HXA255028,Back-End
HXA255028,Front-End
HXA255028,Other
HXA255028,Virtual Reality
HXA255028,Machine Learning
HXA255028,Mobile Dev
HXA255028,Full-Stack
HXA255028,Database
HXA255028,Artificial Intelligence
AYH226794,Artificial Intelligence
AYH226794,Back-End
AYH226794,Front-End
AYH226794,Database
RWB242568,Virtual Reality
JYP210011,Full-Stack
JYP210011,Database
JYP210011,Front-End
JYP210011,Back-End
JYP210011,Other
MLS282756,Machine Learning
NWM259050,Full-Stack
NWM259050,Front-End
NWM259050,Back-End
NWM259050,Artificial Intelligence
NWM259050,Database
NWM259050,Machine Learning
NWM259050,Other
NWM259050,Mobile Dev
OUV210682,Full-Stack
OUV210682,Back-End
OUV210682,Other
OUV210682,Machine Learning
OUV210682,Database
OUV210682,Virtual Reality
SJS225166,Other
SJS225166,Front-End
SJS225166,Artificial Intelligence
SJS225166,Full-Stack
SJS225166,Machine Learning
SJS225166,Back-End
SJS225166,Virtual Reality
SJS225166,Database
DPD230671,Mobile Dev
DPD230671,Other
DPD230671,Virtual Reality
DPD230671,Full-Stack
DPD230671,Database
TMH259130,Database
TMH259130,Virtual Reality
TMH259130,Front-End
TMH259130,Full-Stack
TMH259130,Back-End
LGJ258799,Other
LGJ258799,Virtual Reality
LGJ258799,Front-End
LGJ258799,Full-Stack
LGJ258799,Back-End
LGJ258799,Artificial Intelligence
LGJ258799,Mobile Dev
LGJ258799,Database
SQA274798,Other
LCM291146,Front-End
LCM291146,Machine Learning
LCM291146,Back-End
LCM291146,Other
LCM291146,Virtual Reality
LCM291146,Artificial Intelligence
LCM291146,Mobile Dev
EFS297426,Artificial Intelligence
EFS297426,Machine Learning
EFS297426,Virtual Reality
EFS297426,Front-End
EFS297426,Database
EFS297426,Other
EFS297426,Back-End
PYT218714,Artificial Intelligence
PYT218714,Virtual Reality
PYT218714,Machine Learning
PYT218714,Front-End
PYT218714,Mobile Dev
AMG214869,Machine Learning
CWN272089,Artificial Intelligence
CWN272089,Database
NQK240539,Back-End
NQK240539,Full-Stack
NQK240539,Mobile Dev
NQK240539,Artificial Intelligence
NQK240539,Front-End
NQK240539,Database
LRH283238,Full-Stack
LRH283238,Other
LRH283238,Back-End
LRH283238,Artificial Intelligence
LRH283238,Machine Learning
LRH283238,Mobile Dev
LRH283238,Database
LRH283238,Front-End
GJS263300,Front-End
GHH241827,Front-End
EYF272512,Back-End
EYF272512,Full-Stack
EYF272512,Front-End
EYF272512,Database
SXB280356,Artificial Intelligence
SXB280356,Mobile Dev
SXB280356,Other
SXB280356,Machine Learning
SXB280356,Full-Stack
SXB280356,Database
SXB280356,Front-End
SXB280356,Back-End
SXB280356,Virtual Reality
PXJ269878,Mobile Dev
PXJ269878,Database
PXJ269878,Back-End
PXJ269878,Full-Stack
HRW257983,Machine Learning
HRW257983,Full-Stack
HRW257983,Front-End
HRW257983,Other
HRW257983,Artificial Intelligence
HRW257983,Back-End
HRW257983,Virtual Reality
HRW257983,Mobile Dev
ABG222946,Full-Stack
ABG222946,Machine Learning
ABG222946,Front-End
ABG222946,Virtual Reality
ABG222946,Other
ABG222946,Artificial Intelligence
ABG222946,Back-End
MCR280079,Full-Stack
VDT285679,Full-Stack
VDT285679,Virtual Reality
VDT285679,Artificial Intelligence
VDT285679,Machine Learning
JBL269228,Database
JBL269228,Full-Stack
JBL269228,Back-End
JBL269228,Mobile Dev
JBL269228,Machine Learning
JBL269228,Other
JBL269228,Front-End
JBL269228,Artificial Intelligence
PYW209046,Artificial Intelligence
PYW209046,Virtual Reality
PYW209046,Database
PYW209046,Mobile Dev
PYW209046,Other
PYW209046,Front-End
JTM224704,Database
JTM224704,Back-End
JTM224704,Front-End
MPW207989,Virtual Reality
MPW207989,Artificial Intelligence
MPW207989,Mobile Dev
MPW207989,Database
MPW207989,Other
MKH273044,Mobile Dev
CHP224906,Database
CHP224906,Virtual Reality
CHP224906,Back-End
CHP224906,Machine Learning
CHP224906,Full-Stack
CHP224906,Artificial Intelligence
CHP224906,Mobile Dev
CHP224906,Other
CHP224906,Front-End
CHP234180,Database
CHP234180,Mobile Dev
CHP234180,Machine Learning
CHP234180,Artificial Intelligence
CHP234180,Full-Stack
CHP234180,Virtual Reality
CHP234180,Back-End
CHP234180,Other
CHP234180,Front-End
JGC282667,Artificial Intelligence
JGC282667,Front-End
JGC282667,Machine Learning
JGC282667,Other
JGC282667,Virtual Reality
JGC282667,Database
JGC282667,Full-Stack
JOC235038,Database
JOC235038,Machine Learning
JOC235038,Artificial Intelligence
SMW210084,Artificial Intelligence
SMW210084,Virtual Reality
SMW210084,Mobile Dev
SMW210084,Other
SMW210084,Back-End
SMW210084,Front-End
SMW210084,Full-Stack
SMW210084,Machine Learning
CMP259054,Virtual Reality
CMP259054,Back-End
BTC203442,Front-End
BTC203442,Machine Learning
BTC203442,Database
BTC203442,Virtual Reality
BTC203442,Other
BTC203442,Back-End
BTS239932,Mobile Dev
BTS239932,Artificial Intelligence
BTS239932,Database
BTS239932,Other
BTS239932,Machine Learning
MLP242714,Database
MLP242714,Full-Stack
MLP242714,Artificial Intelligence
MLP242714,Machine Learning
MLP242714,Front-End
MLP242714,Other
MLP242714,Mobile Dev
MLP242714,Virtual Reality
MLP242714,Back-End
VZE271256,Back-End
VZE271256,Other
VZE271256,Virtual Reality
VZE271256,Mobile Dev
VZE271256,Full-Stack
VZE271256,Artificial Intelligence
VZE271256,Machine Learning
VZE271256,Front-End
VZE271256,Database
MCD203219,Artificial Intelligence
MCD203219,Machine Learning
AKW297057,Mobile Dev
AKW297057,Database
AKW297057,Virtual Reality
AKW297057,Other
AKW297057,Back-End
AKW297057,Machine Learning
STM234387,Virtual Reality
STM234387,Back-End
STM234387,Full-Stack
STM234387,Other
STM234387,Database
STM234387,Mobile Dev
STM234387,Artificial Intelligence
STM234387,Machine Learning
STM234387,Front-End
LUM224347,Full-Stack
LUM224347,Mobile Dev
LUM224347,Other
LUM224347,Back-End
LUM224347,Artificial Intelligence
LUM224347,Virtual Reality
LUM224347,Machine Learning
LUM224347,Front-End
AOC236025,Other
AOC236025,Back-End
AOC236025,Machine Learning
AOC236025,Front-End
AOC236025,Full-Stack
AOC236025,Virtual Reality
AOC236025,Database
SYS245688,Artificial Intelligence
SYS245688,Virtual Reality
SYS245688,Back-End
DIH299807,Virtual Reality
DIH299807,Mobile Dev
DIH299807,Front-End
DIH299807,Artificial Intelligence
DIH299807,Other
DIH299807,Database
MCC220837,Front-End
MCC220837,Virtual Reality
JCF255353,Back-End
WXS211362,Virtual Reality
WXS211362,Artificial Intelligence
WXS211362,Other
WXS211362,Back-End
WXS211362,Mobile Dev
DTH264865,Front-End
DTH264865,Artificial Intelligence
DTH264865,Full-Stack
DTH264865,Back-End
DTH264865,Database
DTH264865,Machine Learning
DTH264865,Mobile Dev
DTH264865,Other
DKM210357,Back-End
DKM210357,Machine Learning
DKM210357,Artificial Intelligence
DKM210357,Database
DKM210357,Other
DKM210357,Front-End
DKM210357,Virtual Reality
DKM210357,Full-Stack
DKM210357,Mobile Dev
JXL265065,Artificial Intelligence
JXL265065,Full-Stack
AVP220618,Database
DBU265803,Mobile Dev
BUS260091,Front-End
LYG241160,Machine Learning
LYG241160,Mobile Dev
LYG241160,Full-Stack
LYG241160,Front-End
LYG241160,Artificial Intelligence
LYG241160,Back-End
LYG241160,Virtual Reality
RZL272869,Front-End
RZR225919,Front-End
BEL254000,Other
BEL254000,Database
BEL254000,Artificial Intelligence
CBB271057,Database
CBB271057,Front-End
CBB271057,Machine Learning
CBB271057,Other
CBB271057,Mobile Dev
CBB271057,Full-Stack
CBB271057,Artificial Intelligence
CBB271057,Virtual Reality
CBB271057,Back-End
TUW295990,Other
TUW295990,Artificial Intelligence
SLH265035,Back-End
SLH265035,Artificial Intelligence
EJS221319,Machine Learning
EJS221319,Back-End
EJS221319,Front-End
EJS221319,Full-Stack
EJS221319,Mobile Dev
RRD238980,Front-End
RRD238980,Artificial Intelligence
EMH210739,Machine Learning
EMH210739,Back-End
EMH210739,Artificial Intelligence
EMH210739,Other
EMH210739,Database
EMH210739,Mobile Dev
EMH210739,Virtual Reality
KPG268495,Mobile Dev
KPG268495,Machine Learning
KPG268495,Front-End
EWJ236202,Other
EWJ236202,Virtual Reality
EWJ236202,Front-End
EWJ236202,Database
EWJ236202,Back-End
EWJ236202,Machine Learning
EWJ236202,Full-Stack
EWJ236202,Mobile Dev
EWJ236202,Artificial Intelligence
SJR248816,Back-End
SJR248816,Database
SJR248816,Other
SJR248816,Full-Stack
SJR248816,Mobile Dev
SJR248816,Artificial Intelligence
SJR248816,Virtual Reality
LGC204334,Mobile Dev
LGC204334,Virtual Reality
LGC204334,Artificial Intelligence
LGC204334,Front-End
LGC204334,Other
IGS206507,Database
IGS206507,Machine Learning
IGS206507,Artificial Intelligence
BVS239602,Machine Learning
BVS239602,Other
BVS239602,Artificial Intelligence
BVS239602,Front-End
BVS239602,Database
BVS239602,Virtual Reality
BVS239602,Back-End
BVS239602,Full-Stack
BGS250891,Other
BGS250891,Mobile Dev
BGS250891,Artificial Intelligence
KSL259251,Back-End
KSL259251,Full-Stack
KSL259251,Machine Learning
KSL259251,Database
KSL259251,Artificial Intelligence
KSL259251,Virtual Reality
KSL259251,Other
MXA208557,Other
MXA208557,Artificial Intelligence
MXA208557,Database
MXA208557,Mobile Dev
MXA208557,Back-End
MXA208557,Full-Stack
MXA208557,Machine Learning
MXA208557,Virtual Reality
MXA208557,Front-End
LTO283928,Front-End
DVR291120,Full-Stack
DVR291120,Virtual Reality
DVR291120,Mobile Dev
DVR291120,Front-End
HQM214474,Machine Learning
KTM218139,Artificial Intelligence
PVG223758,Mobile Dev
PVG223758,Other
DUM256734,Other
DUM256734,Front-End
HMH236458,Back-End
HMH236458,Mobile Dev
HMH236458,Database
KOQ243512,Database
MGN293959,Database
MGN293959,Mobile Dev
MGN293959,Virtual Reality
MGN293959,Back-End
MGN293959,Full-Stack
MGN293959,Front-End
RTL250778,Machine Learning
RTL250778,Virtual Reality
RTL250778,Full-Stack
DKD293113,Artificial Intelligence
RTS298775,Database
RTS298775,Virtual Reality
RTS298775,Back-End
RTS298775,Machine Learning
RTS298775,Full-Stack
RTS298775,Front-End
RTS298775,Mobile Dev
RTS298775,Artificial Intelligence
KRM222779,Full-Stack
KRM222779,Machine Learning
EQD275061,Other
EQD275061,Back-End
JDB289463,Other
JDB289463,Machine Learning
JDB289463,Front-End
JDB289463,Mobile Dev
VXR226945,Front-End
VXR226945,Mobile Dev
AYH270101,Front-End
AYH270101,Back-End
AYH270101,Full-Stack
AYH270101,Machine Learning
AYH270101,Other
AYH270101,Virtual Reality
AYH270101,Database
AYH270101,Mobile Dev
AYH270101,Artificial Intelligence
RRA205475,Database
RRA205475,Artificial Intelligence
RRA205475,Back-End
RRA205475,Other
RGB287988,Mobile Dev
RGB287988,Artificial Intelligence
RGB287988,Machine Learning
RGB287988,Other
RGB287988,Full-Stack
RGB287988,Back-End
RGB287988,Virtual Reality
LEA220869,Artificial Intelligence
LEA220869,Front-End
LEA220869,Back-End
LEA220869,Database
LEA220869,Virtual Reality
LEA220869,Mobile Dev
LEA220869,Machine Learning
AHR277028,Artificial Intelligence
AHR277028,Other
AHR277028,Database
AHR277028,Virtual Reality
AHR277028,Machine Learning
AHR277028,Front-End
JFB202942,Front-End
JFB202942,Full-Stack
JFB202942,Other
JFB202942,Back-End
JFB202942,Mobile Dev
JFB202942,Artificial Intelligence
JFB202942,Machine Learning
JFB202942,Database
KFG226522,Front-End
KFG226522,Back-End
KFG226522,Other
KFG226522,Database
KFG226522,Mobile Dev
KFG226522,Virtual Reality
KFG226522,Full-Stack
KFG226522,Machine Learning
KFG226522,Artificial Intelligence
ASL224775,Other
CVM270268,Virtual Reality
CVM270268,Mobile Dev
CVM270268,Back-End
GPC251000,Back-End
GPC251000,Other
GPC251000,Full-Stack
GPC251000,Mobile Dev
GPC251000,Virtual Reality
GPC251000,Front-End
SMI211382,Database
SMI211382,Front-End
SMI211382,Artificial Intelligence
SMI211382,Virtual Reality
SMI211382,Mobile Dev
SMI211382,Machine Learning
SMI211382,Full-Stack
SMI211382,Back-End
SMI211382,Other
LYD290989,Mobile Dev
LYD290989,Other
LYD290989,Machine Learning
LYD290989,Front-End
LYD290989,Database
GKM237655,Full-Stack
GKM237655,Mobile Dev
GKM237655,Other
GKM237655,Virtual Reality
GKM237655,Back-End
GKM237655,Artificial Intelligence
GKM237655,Front-End
GKM237655,Database
JED223969,Virtual Reality
JED223969,Mobile Dev
JED223969,Machine Learning
JED223969,Front-End
JED223969,Other
JED223969,Full-Stack
JED223969,Back-End
JED223969,Artificial Intelligence
LYG224105,Virtual Reality
LYG224105,Machine Learning
LYG224105,Database
LYG224105,Back-End
LYG224105,Mobile Dev
KUW255249,Artificial Intelligence
KUW255249,Mobile Dev
KUW255249,Full-Stack
KUW255249,Virtual Reality
KUW255249,Machine Learning
KUW255249,Front-End
KUW255249,Back-End
KUW255249,Database
SGP215890,Other
SGP215890,Full-Stack
SGP215890,Virtual Reality
SGP215890,Mobile Dev
SGP215890,Artificial Intelligence
SGP215890,Machine Learning
SGP215890,Database
SGP215890,Back-End
SGP215890,Front-End
GWS245039,Virtual Reality
GWS245039,Machine Learning
GWS245039,Database
GWS245039,Full-Stack
GWS245039,Mobile Dev
GWS245039,Other
GWS245039,Back-End
GWS245039,Front-End
GWS245039,Artificial Intelligence
JYM262021,Machine Learning
BHV268610,Machine Learning
BHV268610,Artificial Intelligence
BHV268610,Database
BHV268610,Full-Stack
BHV268610,Back-End
BHV268610,Mobile Dev
BHV268610,Front-End
PTC223908,Mobile Dev
PTC223908,Database
PTC223908,Full-Stack
PTC223908,Front-End
JPR228467,Front-End
JPR228467,Artificial Intelligence
JPR228467,Other
JPR228467,Back-End
JPR228467,Virtual Reality
JPR228467,Full-Stack
JPR228467,Mobile Dev
RDP296681,Mobile Dev
RDP296681,Virtual Reality
RDP296681,Artificial Intelligence
JIC230928,Virtual Reality
BZW207834,Mobile Dev
BZW207834,Database
JOH274278,Other
JOH274278,Full-Stack
JOH274278,Front-End
JOH274278,Machine Learning
JOH274278,Back-End
JOH274278,Database
JOH274278,Artificial Intelligence
JOH274278,Mobile Dev
JOH274278,Virtual Reality
JFA212616,Back-End
JFA212616,Mobile Dev
JFA212616,Other
NRM225312,Virtual Reality
NRM225312,Back-End
NRM225312,Other
NRM225312,Artificial Intelligence
NRM225312,Machine Learning
NRM225312,Full-Stack
NRM225312,Database
NRM225312,Mobile Dev
KXD273812,Mobile Dev
KXD273812,Other
KXD273812,Database
KXD273812,Front-End
KXD273812,Artificial Intelligence
MHB218141,Back-End
MHB218141,Virtual Reality
MHB218141,Machine Learning
MHB218141,Other
IYL245603,Front-End
IYL245603,Virtual Reality
IYL245603,Other
IYL245603,Full-Stack
IYL245603,Machine Learning
IYL245603,Mobile Dev
IYL245603,Back-End
IYL245603,Database
IYL245603,Artificial Intelligence
DMF299881,Database
DMF299881,Other
DMF299881,Back-End
DMF299881,Front-End
DMF299881,Full-Stack
DMF299881,Mobile Dev
DMF299881,Virtual Reality
DMF299881,Artificial Intelligence
DMF299881,Machine Learning
MTW299317,Front-End
MTW299317,Artificial Intelligence
MTW299317,Mobile Dev
MTW299317,Other
TGT276415,Machine Learning
TGT276415,Front-End
TGT276415,Database
TGT276415,Artificial Intelligence
TGT276415,Mobile Dev
TGT276415,Other
TGT276415,Back-End
TGT276415,Full-Stack
TGT276415,Virtual Reality
DBR226066,Machine Learning
DBR226066,Artificial Intelligence
DBR226066,Database
DBR226066,Virtual Reality
DBR226066,Back-End
DBR226066,Front-End
DBR226066,Other
DBR226066,Full-Stack
RJF254700,Mobile Dev
RJF254700,Full-Stack
RJF254700,Back-End
RJF254700,Artificial Intelligence
RJF254700,Virtual Reality
JTK217241,Database
JTK217241,Other
JTK217241,Back-End
JTK217241,Artificial Intelligence
JTK217241,Front-End
JTK217241,Full-Stack
JTK217241,Machine Learning
JTK217241,Virtual Reality
JTK217241,Mobile Dev
TXD232346,Virtual Reality
TXD232346,Front-End
TXD232346,Machine Learning
TXD232346,Mobile Dev
TXD232346,Database
MFB260762,Full-Stack
MFB260762,Virtual Reality
MFB260762,Database
MFB260762,Other
MFB260762,Mobile Dev
MFB260762,Front-End
MFB260762,Machine Learning
MFB260762,Back-End
JJM218953,Machine Learning
JJM218953,Full-Stack
JJM218953,Front-End
JJM218953,Back-End
JJM218953,Artificial Intelligence
JJM218953,Virtual Reality
JJM218953,Mobile Dev
SGC271741,Full-Stack
SGC271741,Front-End
ACS212206,Back-End
ACS212206,Machine Learning
ACS212206,Database
ACS212206,Other
ACS212206,Front-End
ACS212206,Full-Stack
ACS212206,Artificial Intelligence
ACS212206,Virtual Reality
MZD225369,Virtual Reality
MZD225369,Other
MZD225369,Front-End
KVR223020,Front-End
KVR223020,Full-Stack
KVR223020,Database
KVR223020,Back-End
KVR223020,Virtual Reality
KVR223020,Mobile Dev
KVR223020,Artificial Intelligence
DXH263263,Artificial Intelligence
DXH263263,Full-Stack
DXH263263,Virtual Reality
DXH263263,Front-End
PYD226287,Machine Learning
VJH218554,Other
VJH218554,Mobile Dev
VJH218554,Front-End
VJH218554,Back-End
VJH218554,Virtual Reality
SUV291566,Mobile Dev
SUV291566,Database
SUV291566,Back-End
SUV291566,Virtual Reality
SUV291566,Machine Learning
SUV291566,Full-Stack
SUV291566,Artificial Intelligence
CMG272895,Database
CMG272895,Other
CMG272895,Machine Learning
CMG272895,Back-End
CMG272895,Mobile Dev
CMG272895,Virtual Reality
JOR277616,Virtual Reality
JOR277616,Back-End
JOR277616,Machine Learning
JOR277616,Front-End
DLL262242,Machine Learning
DLL262242,Full-Stack
RLC259558,Virtual Reality
RLC259558,Front-End
RSM261925,Front-End
RSM261925,Artificial Intelligence
RSM261925,Machine Learning
RSM261925,Other
RSM261925,Database
RSM261925,Virtual Reality
RSM261925,Full-Stack
RSM261925,Back-End
RSM261925,Mobile Dev
NIG236418,Full-Stack
CYA252264,Virtual Reality
CYA252264,Other
CYA252264,Database
GYP212881,Database
GYP212881,Artificial Intelligence
GYP212881,Mobile Dev
JTR225307,Back-End
JTR225307,Other
JTR225307,Front-End
RGJ233847,Full-Stack
RGJ233847,Mobile Dev
RGJ233847,Front-End
RGJ233847,Back-End
RGJ233847,Machine Learning
RGJ233847,Database
DMB284907,Machine Learning
DMB284907,Virtual Reality
DMB284907,Front-End
BBL204855,Database
HHB213937,Virtual Reality
HHB213937,Artificial Intelligence
HHB213937,Other
MUF231934,Full-Stack
MUF231934,Front-End
MUF231934,Database
MUF231934,Mobile Dev
MUF231934,Artificial Intelligence
MUF231934,Machine Learning
BTC280024,Artificial Intelligence
BTC280024,Virtual Reality
BTC280024,Front-End
BTC280024,Machine Learning
EBC289816,Machine Learning
EBC289816,Database
EBC289816,Mobile Dev
EBC289816,Full-Stack
EBC289816,Artificial Intelligence
IHH261018,Full-Stack
IHH261018,Other
IHH261018,Machine Learning
IHH261018,Virtual Reality
IHH261018,Back-End
IHH261018,Front-End
IHH261018,Artificial Intelligence
IHH261018,Mobile Dev
IHH261018,Database
VGB210890,Machine Learning
VGB210890,Database
VGB210890,Artificial Intelligence
VGB210890,Front-End
VGB210890,Virtual Reality
RBT246230,Artificial Intelligence
RBT246230,Mobile Dev
RBT246230,Database
RBT246230,Machine Learning
RBT246230,Other
PDK251207,Back-End
PDK251207,Full-Stack
PDK251207,Database
PDK251207,Other
DUV230451,Other
DUV230451,Mobile Dev
DUV230451,Database
DUV230451,Full-Stack
DUV230451,Machine Learning
DUV230451,Back-End
DUV230451,Virtual Reality
MVM223891,Database
MVM223891,Back-End
KFT245068,Back-End
KFT245068,Front-End
KFT245068,Database
KFT245068,Virtual Reality
TEC290327,Back-End
TEC290327,Machine Learning
TEC290327,Front-End
TEC290327,Database
TEC290327,Mobile Dev
TEC290327,Other
TEC290327,Artificial Intelligence
TEC290327,Full-Stack
BSH295420,Full-Stack
DPM226117,Machine Learning
DPM226117,Mobile Dev
DPM226117,Other
DPM226117,Artificial Intelligence
CUF276161,Back-End
CUF276161,Artificial Intelligence
CUF276161,Machine Learning
CUF276161,Mobile Dev
CUF276161,Virtual Reality
CUF276161,Front-End
CUF276161,Other
EQE237992,Back-End
EQE237992,Full-Stack
JJM275777,Front-End
JJM275777,Back-End
JJM275777,Mobile Dev
JJM275777,Machine Learning
JJM275777,Database
JJM275777,Full-Stack
JJM275777,Artificial Intelligence
JJM275777,Other
DJN215167,Database
DJN215167,Virtual Reality
DJN215167,Full-Stack
DJN215167,Other
DJN215167,Back-End
DJN215167,Front-End
DJN215167,Machine Learning
SML247672,Virtual Reality
SML247672,Mobile Dev
SML247672,Full-Stack
BQD239682,Database
BQD239682,Machine Learning
BQD239682,Artificial Intelligence
BQD239682,Other
BQD239682,Virtual Reality
BQD239682,Full-Stack
BQD239682,Mobile Dev
GYM256450,Mobile Dev
GYM256450,Other
GYM256450,Database
GYM256450,Machine Learning
GYM256450,Back-End
GYM256450,Front-End
GYM256450,Artificial Intelligence
GYM256450,Full-Stack
GYM256450,Virtual Reality
SJA277664,Full-Stack
SJA277664,Front-End
SJA277664,Machine Learning
SJA277664,Other
SJA277664,Mobile Dev
KGL266144,Machine Learning
KGL266144,Mobile Dev
KGL266144,Artificial Intelligence
KGL266144,Other
KGL266144,Back-End
KGL266144,Front-End
JTH234987,Database
JTH234987,Back-End
JTH234987,Mobile Dev
JTH234987,Virtual Reality
JTH234987,Front-End
JTH234987,Artificial Intelligence
ITT202609,Virtual Reality
TND243160,Back-End
TND243160,Full-Stack
EJF218993,Front-End
EJF218993,Other
EJF218993,Artificial Intelligence
EJF218993,Virtual Reality
EJF218993,Back-End
EJF218993,Full-Stack
EJF218993,Database
EJF218993,Machine Learning
EJF218993,Mobile Dev
KKS264447,Back-End
KKS264447,Full-Stack
KKS264447,Artificial Intelligence
KKS264447,Mobile Dev
KKS264447,Machine Learning
KKS264447,Front-End
AUW220686,Virtual Reality
AUW220686,Artificial Intelligence
AUW220686,Database
AUW220686,Other
AUW220686,Back-End
AUW220686,Full-Stack
AUW220686,Front-End
AUW220686,Machine Learning
AUW220686,Mobile Dev
MEN206525,Full-Stack
MEN206525,Back-End
MEN206525,Front-End
MEN206525,Artificial Intelligence
MEN206525,Machine Learning
AHS238036,Mobile Dev
AHS238036,Back-End
AHS238036,Front-End
AHS238036,Database
AHS238036,Other
AHS238036,Full-Stack
AHS238036,Artificial Intelligence
AHS238036,Machine Learning
AHS238036,Virtual Reality
BQB273342,Mobile Dev
BQB273342,Full-Stack
BQB273342,Front-End
BQB273342,Other
BQB273342,Machine Learning
EKC243178,Full-Stack
EKC243178,Database
EKC243178,Virtual Reality
EKC243178,Front-End
EKC243178,Other
EKC243178,Machine Learning
EKC243178,Artificial Intelligence
EKC243178,Mobile Dev
EKC243178,Back-End
MNV284825,Full-Stack
MNV284825,Artificial Intelligence
MNV284825,Mobile Dev
MNV284825,Front-End
SPM288662,Back-End
SPM288662,Machine Learning
SPM288662,Database
SPM288662,Virtual Reality
SPM288662,Front-End
SPM288662,Artificial Intelligence
SPM288662,Other
SPM288662,Mobile Dev
GIB212384,Back-End
GIB212384,Front-End
GIB212384,Mobile Dev
